features_group,model_type,clf,parameters,MSE,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,cv_avg_precision,accuracy,f1_score,precision,recall,feature_importances
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l1', 'C': 1e-05}",0.4667705088265836,0.5,0.9473684210526315,0.9736842105263158,0.9895833333333334,0.9947916666666666,0.8363636363636363,0.467541844139974,0.5332294911734164,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 1e-05}",0.4132917964693666,0.6025005605059393,0.42105263157894735,0.5263157894736842,0.5833333333333334,0.6302083333333334,0.5792207792207792,0.5454668604948189,0.5867082035306335,0.5295508274231678,0.5649432534678437,0.4983314794215795,"[0.01680842136166881, 0.007636504043397682, 1.4069083140572184e-05, 0.0022782369677666115, 0.004975833265428926, 0.00017637106777221035, -0.0008912672014791353, -0.0024150768695314294, 0.00010913203540317366]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l1', 'C': 0.001}",0.4184839044652129,0.6043624150170102,0.47368421052631576,0.5789473684210527,0.59375,0.5989583333333334,0.5974025974025974,0.5476785354585068,0.5815160955347871,0.5415244596131968,0.5541327124563445,0.5294771968854283,"[0.025592401844704144, 0.003308771912987402, -4.738455190090094e-06, 0.0019863294283230092, 0.0, 0.0, 0.0, 0.0, 0.00011195891317165802]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.001}",0.42627206645898236,0.6017228923622807,0.42105263157894735,0.5526315789473685,0.6354166666666666,0.6041666666666666,0.5792207792207792,0.5489329792904941,0.5737279335410177,0.5295128939828081,0.5460992907801419,0.5139043381535039,"[0.030533436123763427, 0.004135905252146718, 0.00041192578584652826, -0.0024386642389340554, 0.029465948849579638, 0.0325622183312453, -0.020411646476607734, -0.014774228136088365, 9.526200080332427e-05]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l1', 'C': 0.1}",0.4215991692627207,0.6010037117948862,0.42105263157894735,0.5263157894736842,0.625,0.6041666666666666,0.5818181818181818,0.5505381549180867,0.5784008307372793,0.5391600454029511,0.5504055619930475,0.5283648498331479,"[0.030912640223320128, 0.004002069929208614, -2.533384410241805e-06, -0.0037081472159746416, 0.03316544672734477, 0.07080831229342192, -0.00026065033461789185, -0.013021978696388941, 0.00011186502045329627]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.1}",0.42679127725856697,0.6008769887129809,0.42105263157894735,0.5526315789473685,0.6041666666666666,0.6041666666666666,0.5766233766233766,0.5485006016906322,0.573208722741433,0.5281285878300804,0.5456702253855279,0.5116796440489433,"[0.030944921857364742, 0.003940592742169749, 0.000473848627817644, -0.003844167302427538, 0.035616315534808374, 0.08070692105489903, -0.023524205606961477, -0.01595336620535087, 0.00010054801391858636]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l1', 'C': 0.5}",0.4205607476635514,0.6005390604945666,0.42105263157894735,0.5263157894736842,0.625,0.6041666666666666,0.5792207792207792,0.550640203881969,0.5794392523364486,0.5392491467576792,0.5518044237485448,0.5272525027808677,"[0.030983192265080072, 0.003989397758930528, -2.6302235834316322e-06, -0.004115527624362665, 0.03485575469451821, 0.08344971451659342, -0.00027919374424100304, -0.01346968199526991, 0.00011385457482629161]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.5}",0.42679127725856697,0.6008206673432452,0.42105263157894735,0.5526315789473685,0.6041666666666666,0.6041666666666666,0.5766233766233766,0.5489372819343797,0.573208722741433,0.5281285878300804,0.5456702253855279,0.5116796440489433,"[0.030949593889236335, 0.003937832175512283, 0.00047413300405143476, -0.003868874516646978, 0.035719131408846645, 0.08164811794253424, -0.02353986010209517, -0.015963743134491094, 0.00010067780357599944]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l1', 'C': 1}",0.4205607476635514,0.6004664925758687,0.42105263157894735,0.5263157894736842,0.625,0.6041666666666666,0.5792207792207792,0.5507552679432195,0.5794392523364486,0.5392491467576792,0.5518044237485448,0.5272525027808677,"[0.030993029593684194, 0.003986933204702668, -3.0628386366802984e-06, -0.00416728286283301, 0.03506975547644754, 0.08503780752943174, -0.0002610164588706705, -0.013525229709406896, 0.00011414333415603838]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 1}",0.42679127725856697,0.6007979221746981,0.42105263157894735,0.5526315789473685,0.6041666666666666,0.6041666666666666,0.5766233766233766,0.5493195242983668,0.573208722741433,0.5281285878300804,0.5456702253855279,0.5116796440489433,"[0.030951016080385592, 0.003937582332310186, 0.0004741705601805211, -0.0038719251768688616, 0.035732563481395474, 0.0817736514972416, -0.023541937644476194, -0.01596528552730061, 0.00010069901965289116]"
